,nameLast,nameGiven,height-plus-weight
448,Armstrong,Jack William,297.0
449,Armstrong,Michael Dennis,268.0
450,Armstrong,Shawn Michael,299.0
451,Arndt,Harry John,
452,Arndt,Larry Wayne,268.0
453,Arnold,Willis S.,
454,Arnold,Christopher Paul,230.0
455,Arnold,James Lee,264.0
456,Arnold,Scott Gentry,284.0
457,Arnold,Tony Dale,241.0
458,Arnovich,Morris,238.0
459,Arnsberg,Bradley James,281.0
460,Arntzen,Orie Edgar,273.0
461,Arocha,Rene,252.0
462,Aro,Jonathan Arturo,307.0
463,Arredondo,Jose Juan,262.0
464,Arrieta,Jacob Joseph,301.0
465,Arrigo,Gerald William,258.0
466,Arrojo,Luis Rolando,291.0
467,Arroyo,Bronson Anthony,260.0
468,Arroyo,Fernando,254.0
469,Arroyo,Luis Enrique,246.0
470,Arroyo,Rudolph,269.0
471,Arruebarrena,Barbaro Erisbel,303.0
472,Arundel,Harry,211.0
473,Arundel,John Thomas,245.0
474,Asadoor,Randall Carl,258.0
475,Asbell,James Marion,267.0
476,Asbjornson,Robert Anthony,269.0
477,Ascanio,Jose Eleazar,266.0
478,Asche,Cody James,278.0
479,Asencio,Miguel,264.0
480,Ashburn,Don Richard,240.0
481,Ashby,Alan Dean,259.0
482,Ashby,Andrew Jason,253.0
483,Asher,Alec Edward,306.0
484,Ashford,Thomas Steven,268.0
485,Ash,Kenneth Lowther,236.0
486,Ashley,Billy Manual,299.0
487,Ashley,Nevin Robert,318.0
488,Asmussen,Thomas William,
489,Aspromonte,Robert Thomas,244.0
490,Aspromonte,Kenneth Joseph,252.0
491,Asselstine,Brian Hanly,248.0
492,Assenmacher,Paul Andre,270.0
493,Astacio,Ezequiel F.,275.0
494,Astacio,Pedro Julio,248.0
495,Astroth,Joseph Henry,256.0
496,Asuaje,Carlos A.,229.0
497,Atchison,Scott Barham,274.0
498,Atchley,Justin Scott,290.0
499,Atherton,Charles Morgan Herbert,230.0
500,Atherton,Keith Rowe,276.0
501,Atilano,Luis A.,294.0
502,Atkinson,Albert Wright,236.0
503,Atkinson,William Cecil Glenn,232.0
504,Atkinson,Edward,
505,Atkins,Garrett Bernard,264.0
506,Atkins,James Curtis,280.0
507,Atkinson,Hubert Burley,215.0
508,Atkins,Mitchell Shane,301.0
509,Atkins,Francis Montgomery,235.0
510,Attreau,Richard Gilbert,232.0
511,Atwell,Maurice Dailey,254.0
512,Atwood,William Franklin,261.0
513,Atz,Jacob Henry,229.0
514,Aubrey,Harry Herbert,197.0
515,Aubrey,Robert Michael,262.0
516,Aucoin,Derek Alfred,314.0
517,Aude,Richard Thomas,257.0
518,Auerbach,Frederick Steven,237.0
519,Augenstein,Bryan Christopher,308.0
520,Augustine,David Ralph,248.0
521,August,Donald Glenn,265.0
522,Augustine,Gerald Lee,255.0
523,Auker,Elden LeRoy,268.0
524,Aulds,Leycester Doyle,259.0
525,Ault,Douglas Reagan,275.0
526,Aumont,Phillippe,319.0
